tech,scs,2020,2025,2030,2035,2040,2045,2050,emis_policy,exist_trd,op_char,fixed_pv,pol,group
Solar,prm15_wcost_re3_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.8275963429270057,12.18679882930049,0,1,3,0,"NoCut,Lim",010
Fossil,prm15_wcost_re7_c2p1_t1,0.0,0.0,0.0,0.0,0.0,4.458419354196125,9.787441646516514,0,1,7,0,"NoCut,Lim",010
Solar,prm15_wcost_re2_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.8252941544850247,12.186769241322276,0,1,2,0,"NoCut,Lim",010
Hydro,prm15_wcost_re13_c2p1_t1,100.0,100.0,100.0,100.0,100.0,93.67713779494294,77.97650146436114,0,1,13,1,"NoCut,Lim",011
Solar,prm15_wcost_re20_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.488528781694706,5.874185901462421,0,1,20,1,"NoCut,Lim",011
Solar,prm15_wcost_re1_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.8402354356776605,7.762618774971224,0,1,1,0,"NoCut,Lim",010
Solar,prm15_wcost_re19_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.5199743565300876,4.468769392302342,0,1,19,1,"NoCut,Lim",011
Fossil,prm15_wcost_re6_c2p1_t1,0.0,0.0,0.0,0.0,0.0,4.458419965170389,7.862778853816681,0,1,6,0,"NoCut,Lim",010
Solar,prm15_wcost_re18_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.506218114087142,4.469072568998194,0,1,18,1,"NoCut,Lim",011
Solar,prm15_wcost_re17_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.5059973469177024,4.615705248686737,0,1,17,1,"NoCut,Lim",011
Hydro,prm15_wcost_re15_c2p1_t1,100.0,100.0,100.0,100.0,100.0,93.69963750579349,77.91601302413173,0,1,15,1,"NoCut,Lim",011
Hydro,prm15_wcost_re14_c2p1_t1,100.0,100.0,100.0,100.0,100.0,93.68239133700516,77.97917044890669,0,1,14,1,"NoCut,Lim",011
Solar,prm15_wcost_re16_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.4898889335851928,5.974799561951292,0,1,16,1,"NoCut,Lim",011
Solar,prm15_wcost_re4_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.825525510267146,12.191753528051775,0,1,4,0,"NoCut,Lim",010
Fossil,prm15_wcost_re9_c2p1_t1,0.0,0.0,0.0,0.0,0.0,4.458166668933894,10.006781160190068,0,1,9,0,"NoCut,Lim",010
Hydro,prm15_wcost_re10_c2p1_t1,100.0,100.0,100.0,100.0,100.0,93.60855388903647,77.75831151364763,0,1,10,0,"NoCut,Lim",010
Hydro,prm15_wcost_re12_c2p1_t1,100.0,100.0,100.0,100.0,100.0,93.69280942571275,77.94069836521007,0,1,12,1,"NoCut,Lim",011
Solar,prm15_wcost_re9_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.8167745244244522,12.186738989616218,0,1,9,0,"NoCut,Lim",010
Hydro,prm15_wcost_re11_c2p1_t1,100.0,100.0,100.0,100.0,100.0,93.68196501206673,77.74901637992144,0,1,11,1,"NoCut,Lim",011
Solar,prm15_wcost_re7_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.8353733801251688,11.165484415584189,0,1,7,0,"NoCut,Lim",010
Fossil,prm15_wcost_re8_c2p1_t1,0.0,0.0,0.0,0.0,0.0,4.458167692114298,10.006780857953068,0,1,8,0,"NoCut,Lim",010
Solar,prm15_wcost_re6_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.8390810162007223,7.675654886940713,0,1,6,0,"NoCut,Lim",010
Solar,prm15_wcost_re5_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.8315340550504768,12.020858851334964,0,1,5,0,"NoCut,Lim",010
Solar,prm15_wcost_re8_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.816088728016411,12.187319327577269,0,1,8,0,"NoCut,Lim",010
Fossil,prm15_wcost_re5_c2p1_t1,0.0,0.0,0.0,0.0,0.0,4.458167727935823,9.991702127414957,0,1,5,0,"NoCut,Lim",010
Fossil,prm15_wcost_re3_c2p1_t1,0.0,0.0,0.0,0.0,0.0,4.458167286328767,10.006774341144535,0,1,3,0,"NoCut,Lim",010
Hydro,prm15_wcost_re19_c2p1_t1,100.0,99.99999999999999,100.0,100.0,100.0,93.66278410421708,77.97915474158222,0,1,19,1,"NoCut,Lim",011
Hydro,prm15_wcost_re1_c2p1_t1,100.0,100.00000000000001,100.0,100.0,100.0,93.60241461059306,77.75320064890217,0,1,1,0,"NoCut,Lim",010
Fossil,prm15_wcost_re2_c2p1_t1,0.0,0.0,0.0,0.0,0.0,4.45816657575771,10.006777822110118,0,1,2,0,"NoCut,Lim",010
Hydro,prm15_wcost_re20_c2p1_t1,100.0,100.0,100.0,100.0,100.0,93.67770345304179,77.75154786008143,0,1,20,1,"NoCut,Lim",011
Solar,prm15_wcost_re15_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.48315824870984,4.617072475017981,0,1,15,1,"NoCut,Lim",011
Hydro,prm15_wcost_re18_c2p1_t1,100.0,100.0,100.0,100.0,100.0,93.67654036344912,77.97883858527712,0,1,18,1,"NoCut,Lim",011
Solar,prm15_wcost_re14_c2p1_t1,0.0,0.0,0.0,0.0,0.0,1.5007303405477623,4.468774647341942,0,1,14,1,"NoCut,Lim",011
