sc_name,period,load_zone,Battery_new,twh,MtCO2,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re12_c2p1_t1,2050,Argentina,0.0,1.145130656965421e-16,471.53190139970246,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re9_c2p1_t1,2050,Brazil,0.0,11.949628343322209,630.4656835558849,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re11_c2p1_t1,2050,Argentina,0.0,-2.021598666246405e-15,458.0116989659255,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,2050,Uruguay,0.0688694661681754,1.2715410002681393,1.4366251992538897,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,2050,Paraguay,3.297516147930058,1.6996914688696387,4.896312173347226,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re9_c2p1_t1,2050,Chile,0.0,3.852709262730514e-16,242.7150665333774,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,2050,Paraguay,4.017549092340296,1.786774095900728,5.218175474832528,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re11_c2p1_t1,2050,Chile,0.0,2.618207872728817e-16,277.1739244113679,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re9_c2p1_t1,2050,Uruguay,0.247899931798543,0.6281861391756789,2.550814454264748,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,2050,Uruguay,0.0526354897662973,1.0927678181950329,0.8190365455659058,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,2050,Argentina,0.0,1.7102652627443151e-16,448.47894309706487,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,2050,Brazil,0.0,8.532815338016242,446.4512265230445,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re11_c2p1_t1,2050,Brazil,0.0,4.4323466668735785,568.2933415604746,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re10_c2p1_t1,2050,Chile,0.0,4.584320423273169e-16,243.42312285628225,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re12_c2p1_t1,2050,Paraguay,2.4344305397975767,0.38257947217363564,7.9360768838317455,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re4_c2p1_t1,2050,Region-wide,4.15993573317847,14.42192532136464,1325.7187443983023,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,2050,Paraguay,3.540610145157012,2.242659622016451,4.389068551031729,0,1,6,0,"NoCut,Lim",010
