Argentina,Brazil,Uruguay,Paraguay,Chile,pol
0.7649402645376144,0.5614479732249221,0.684139894434082,0.29626929064802465,0.3191061820380147,"90%Cut,Lim"
0.9196842172363242,0.5395423224915331,0.6081762112348692,0.5913740947515319,0.0017622601990569967,"90%Cut,Full"
0.7281678155536645,0.4378795269527952,0.6728958888620671,0.3531008220493019,0.0,"NoCut,Lim"
0.8466472767839356,0.4760048693962175,0.706717610586829,0.7855946429194132,0.0,"NoCut,Full"
0.8763361221204009,0.5989073127139478,0.6709917812511184,0.3920567030873194,0.5543464330966693,"90%Cut,Lim"
0.9942400608280406,0.5770414622098385,0.6686293180077549,0.7114958730721324,0.0,"90%Cut,Full"
1.0,0.8162057297700182,0.7337760798282452,0.34091131164096966,,"NoCut,Lim"
1.0,0.8272861726778663,0.778359117565827,1.0,,"NoCut,Full"
0.8104534905420947,0.5888362699926122,0.6636325731001352,0.3298594606068357,0.416512386258969,"90%Cut,Lim"
0.9911601268464512,0.5653787055763301,0.6659956766827245,0.7212322872104114,0.0,"90%Cut,Full"
0.9607581912768349,0.4230371091223862,0.6953960595420232,0.04280616327568296,,"NoCut,Lim"
1.0,0.42287951846218197,0.6783943461085125,0.817045623396451,,"NoCut,Full"
0.7933076893443738,0.563214557359115,0.6830020296819117,0.2896726075754462,0.3993675206903931,"90%Cut,Lim"
0.9817489455389796,0.558479486652294,0.6743116974301889,0.7421255812030423,0.0,"90%Cut,Full"
0.23743810374218685,0.2709429673778201,0.6607994044462617,0.0,,"NoCut,Lim"
0.0,0.26119100374688703,0.0,0.48468127098046526,,"NoCut,Full"
0.8153229813245861,0.5801654731201994,0.6687558952785583,0.3132866819951818,0.41932978192697196,"90%Cut,Lim"
0.9901248914981529,0.5672810673161998,0.67605653567192,0.7194358395171163,0.0,"90%Cut,Full"
0.9199640535378459,0.395067947422085,0.6920287587023711,0.0,,"NoCut,Lim"
0.9459764918625678,0.3900250348957272,0.6513394106943948,0.6799215218667157,,"NoCut,Full"
0.8083468015467394,0.5899661387080488,0.6818986635717148,0.332864776957074,0.4194497582232403,"90%Cut,Lim"
0.9936838079906254,0.560995187432917,0.6676326384809746,0.7241943150710868,0.0,"90%Cut,Full"
1.0,0.46624914811357626,0.7128688166932577,0.05305221237951697,,"NoCut,Lim"
1.0,0.4662491481135659,0.7382580788958429,0.8847511630337691,,"NoCut,Full"
0.8744992084335677,0.600312138229202,0.6623976063670467,0.357679361292258,0.5289996499095524,"90%Cut,Lim"
0.9914161636686081,0.5659638058762506,0.6521598151414753,0.7183774259659985,0.0,"90%Cut,Full"
1.0,0.6388184107227147,0.7272532683996162,0.3321853041250198,,"NoCut,Lim"
1.0,0.6507640084295934,0.7659639574213924,1.0,,"NoCut,Full"
0.8468678428964966,0.5950348988919455,0.6768682146427051,0.33933592993408845,0.42390313379680056,"90%Cut,Lim"
0.9916354473083578,0.5692873688513409,0.6644823896210111,0.7268031275174391,0.0,"90%Cut,Full"
1.0,0.5023498233712277,0.7155789321034407,0.05308511279011779,,"NoCut,Lim"
1.0,0.503339619626823,0.7481065985553669,0.9367122119866564,,"NoCut,Full"
0.8148407885192431,0.5568111757535652,0.6840752082489675,0.3018106762163646,0.38485853393059094,"90%Cut,Lim"
0.9901851421783807,0.5658650176248329,0.6804591385549719,0.7539670266740108,0.0,"90%Cut,Full"
0.5160236363734414,0.31076742130967616,0.680208513998013,0.0,,"NoCut,Lim"
0.6103923205340611,0.31106235270012467,0.0,0.5098238882133285,,"NoCut,Full"
0.8156896207271687,0.5814506332877711,0.6913649778043897,0.3059081846310672,0.4026652524514416,"90%Cut,Lim"
0.9814803242490949,0.5855318754238086,0.6717861213252881,0.7114414238253717,0.0,"90%Cut,Full"
0.4439630641441207,0.3030480339624442,0.663112095267428,0.0,,"NoCut,Lim"
0.0,0.30304803396244495,0.0,0.5303849627044859,,"NoCut,Full"
0.7758691423585327,0.5640714945785509,0.6757326752133187,0.28641086314372544,0.2962568799580657,"90%Cut,Lim"
0.917139105548272,0.5304098727672388,0.6194158106037022,0.6062889803101744,0.0,"90%Cut,Full"
0.6385240450809105,0.40978708538648234,0.6765049401167206,0.3269221497926854,0.0,"NoCut,Lim"
0.6600013213239666,0.41293004713218245,0.6697580216376509,0.4364276105952639,0.0,"NoCut,Full"
0.8860544389290294,0.6129094275356686,0.6663327938066856,0.44236665571371225,0.5840606197743861,"90%Cut,Lim"
0.9917998862123513,0.5962531381427721,0.6995069412815202,0.6897611913897638,0.0029308613303011734,"90%Cut,Full"
1.0,0.8647783161037351,0.744633845001711,0.34057245647044304,,"NoCut,Lim"
1.0,0.8758302775329901,0.7851849032257524,1.0,,"NoCut,Full"
0.7423489758810364,0.5805771405571934,0.663820307229204,0.2774521912469646,0.2863001665205742,"90%Cut,Lim"
0.8949726776518283,0.545588559266659,0.6259596903633995,0.6557812087164373,0.0,"90%Cut,Full"
0.0,0.2861151325721045,0.62127735522695,0.0,0.0,"NoCut,Lim"
0.0,0.30386445014501995,0.590618058277806,0.375168494678428,0.0,"NoCut,Full"
0.6709190242202071,0.5323351375427314,0.6737438533999246,0.29183210249759595,0.2780971680627494,"90%Cut,Lim"
0.8771575821005468,0.5367014029456009,0.6293906092439856,0.6458635048338754,0.0,"90%Cut,Full"
0.0,0.18171624500132533,0.5731310646339234,0.0,0.0,"NoCut,Lim"
0.0,0.19137081279552204,0.0,0.045323905060887064,0.0,"NoCut,Full"
0.7478020805807949,0.5729561357051918,0.6797474842708595,0.2831980997120323,0.2710823126635905,"90%Cut,Lim"
0.8891108315730786,0.5527033995953071,0.6387491725526357,0.6622474297240807,0.0,"90%Cut,Full"
0.0,0.27004959070099716,0.6166317999264349,0.0,0.0,"NoCut,Lim"
0.0,0.26893952801830207,0.523950390397703,0.2426355470116293,0.0,"NoCut,Full"
0.7488790235844874,0.5830806090631704,0.6767030388902256,0.2833331364099439,0.26940072144020466,"90%Cut,Lim"
0.8980202947330397,0.545097020157307,0.6299144052864009,0.6448967899319908,0.0,"90%Cut,Full"
