scenario,technology_wind,load_zone,new_build_mw_wind,cap_mw_wind,new_cap_mw_wind,emis_policy,exist_trd,op_char,fixed_pv,pol,group,technology_solar,new_build_mw_solar,cap_mw_solar,new_cap_mw_solar,pref
prm15_wcost_re15_c2p1_t1,Wind,Argentina,5931.463456174226,631578.0,5931.463456174226,0,1,15,1,"NoCut,Lim",11,SolarPV,0.0,68590.4,0.0,1.0
prm15_wcost_re15_c2p1_t1,Wind,Brazil,72177.0,281991.0,72177.0,0,1,15,1,"NoCut,Lim",11,SolarPV,82626.5,134739.3,82626.5,0.46624914811357626
prm15_wcost_re15_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,15,1,"NoCut,Lim",11,SolarPV,0.0,94117.1,0.0,
prm15_wcost_re20_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,20,1,"NoCut,Lim",11,SolarPV,0.0,94117.1,0.0,
prm15_wcost_re2_c2p1_t1,Wind,Argentina,0.0,631578.0,0.0,0,1,2,0,"NoCut,Lim",10,SolarPV,7012.020883884406,68590.4,7012.020883884406,0.0
prm15_wcost_re2_c2p1_t1,Wind,Brazil,50643.0,281991.0,50643.0,0,1,2,0,"NoCut,Lim",10,SolarPV,126359.17232388906,134739.3,126359.17232388906,0.2861151325721045
prm15_wcost_re2_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,2,0,"NoCut,Lim",10,SolarPV,6566.879393697942,94117.1,6566.879393697942,0.0
prm15_wcost_re3_c2p1_t1,Wind,Uruguay,6203.921787464457,102552.0,6203.921787464457,0,1,3,0,"NoCut,Lim",10,SolarPV,4620.690888917156,8111.2,4620.690888917156,0.5731310646339234
prm15_wcost_re3_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,3,0,"NoCut,Lim",10,SolarPV,6146.4953248761885,11360.1,6146.4953248761885,0.0
prm15_wcost_re3_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,3,0,"NoCut,Lim",10,SolarPV,6566.87939369794,94117.1,6566.87939369794,0.0
prm15_wcost_re3_c2p1_t1,Wind,Brazil,28587.0,281991.0,28587.0,0,1,3,0,"NoCut,Lim",10,SolarPV,128729.7,134739.3,128729.7,0.18171624500132533
prm15_wcost_re3_c2p1_t1,Wind,Argentina,0.0,631578.0,0.0,0,1,3,0,"NoCut,Lim",10,SolarPV,7134.310606093095,68590.4,7134.310606093095,0.0
prm15_wcost_re1_c2p1_t1,Wind,Uruguay,6634.680505363126,102552.0,6634.680505363126,0,1,1,0,"NoCut,Lim",10,SolarPV,3172.610043348038,8111.2,3172.610043348038,0.6765049401167206
prm15_wcost_re14_c2p1_t1,Wind,Argentina,5769.032277127863,631578.0,5769.032277127863,0,1,14,1,"NoCut,Lim",11,SolarPV,501.9,68590.4,501.9,0.9199640535378459
prm15_wcost_re14_c2p1_t1,Wind,Brazil,64172.31478575975,281991.0,64172.31478575975,0,1,14,1,"NoCut,Lim",11,SolarPV,98261.3,134739.3,98261.3,0.395067947422085
prm15_wcost_re14_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,14,1,"NoCut,Lim",11,SolarPV,0.0,94117.1,0.0,
prm15_wcost_re14_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,14,1,"NoCut,Lim",11,SolarPV,2488.6233168875924,11360.1,2488.6233168875924,0.0
prm15_wcost_re14_c2p1_t1,Wind,Uruguay,7569.45213044104,102552.0,7569.45213044104,0,1,14,1,"NoCut,Lim",11,SolarPV,3368.607936072067,8111.2,3368.607936072067,0.6920287587023711
prm15_wcost_re2_c2p1_t1,Wind,Uruguay,6576.093530784887,102552.0,6576.093530784887,0,1,2,0,"NoCut,Lim",10,SolarPV,4008.7016101593154,8111.2,4008.7016101593154,0.62127735522695
prm15_wcost_re2_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,2,0,"NoCut,Lim",10,SolarPV,6146.4953248761885,11360.1,6146.4953248761885,0.0
prm15_wcost_re1_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,1,0,"NoCut,Lim",10,SolarPV,6566.879393697939,94117.1,6566.879393697939,0.0
prm15_wcost_re12_c2p1_t1,Wind,Brazil,65337.0,281991.0,65337.0,0,1,12,1,"NoCut,Lim",11,SolarPV,89110.44347734698,134739.3,89110.44347734698,0.4230371091223862
prm15_wcost_re15_c2p1_t1,Wind,Uruguay,7616.403368421052,102552.0,7616.403368421052,0,1,15,1,"NoCut,Lim",11,SolarPV,3067.755049043202,8111.2,3067.755049043202,0.7128688166932577
