scs_id,load_zone,total_costs,added_cost_$M,new_tot_cost,emis_policy,op_char,fixed_pv,pol,group
prm15_fix_wcost_re13_c2p1_co2_cut90p_tnt1,Chile,29990434910.837006,4169.061124148169,34.159496034985175,1,13,1,90%Cut,11
prm15_fix_wcost_re13_c2p1_co2_cut90p_tnt1,Paraguay,8081260650.614027,9.18175343682771,8.090442404050854,1,13,1,90%Cut,11
prm15_fix_wcost_re13_c2p1_co2_cut90p_tnt1,Region-wide,344894527689.6406,17821.311426332915,362.71583911597355,1,13,1,90%Cut,11
prm15_fix_wcost_re13_c2p1_co2_cut90p_tnt1,Uruguay,5555884033.468197,230.78239214714912,5.786666425615346,1,13,1,90%Cut,11
prm15_fix_wcost_re13_c2p1_tnt1,Argentina,52009700692.72581,0.0,52.00970069272581,0,13,1,NoCut,01
prm15_fix_wcost_re13_c2p1_tnt1,Brazil,223056794726.20862,823.3437762369698,223.8801385024456,0,13,1,NoCut,01
prm15_fix_wcost_re13_c2p1_tnt1,Chile,26303866397.371544,0.0,26.303866397371543,0,13,1,NoCut,01
prm15_fix_wcost_re13_c2p1_tnt1,Paraguay,3699044142.586531,280.247518578962,3.979291661165493,0,13,1,NoCut,01
prm15_fix_wcost_re13_c2p1_tnt1,Region-wide,310677630480.5255,1161.965482317708,311.83959596284325,0,13,1,NoCut,01
prm15_fix_wcost_re13_c2p1_tnt1,Uruguay,5608224521.633007,58.37418750177615,5.666598709134783,0,13,1,NoCut,01
prm15_fix_wcost_re14_c2p1_co2_cut90p_tnt1,Argentina,65635136485.055786,155.6072195260815,65.79074370458187,1,14,1,90%Cut,11
prm15_fix_wcost_re14_c2p1_co2_cut90p_tnt1,Brazil,225335758670.7064,12190.62366805449,237.52638233876087,1,14,1,90%Cut,11
prm15_fix_wcost_re14_c2p1_co2_cut90p_tnt1,Chile,28419962967.86003,2617.346855046957,31.037309822906987,1,14,1,90%Cut,11
prm15_fix_wcost_re14_c2p1_co2_cut90p_tnt1,Paraguay,7618599965.031168,2.1122398719809192,7.620712204903149,1,14,1,90%Cut,11
prm15_fix_wcost_re14_c2p1_co2_cut90p_tnt1,Region-wide,333546633844.2797,15063.130107590754,348.6097639518705,1,14,1,90%Cut,11
prm15_fix_wcost_re14_c2p1_co2_cut90p_tnt1,Uruguay,6537175755.626339,97.44012509124605,6.634615880717585,1,14,1,90%Cut,11
prm15_fix_wcost_re14_c2p1_tnt1,Argentina,51447445106.809525,0.0,51.447445106809525,0,14,1,NoCut,01
prm15_fix_wcost_re14_c2p1_tnt1,Brazil,221172435850.63675,1217.5153683768997,222.38995121901362,0,14,1,NoCut,01
prm15_fix_wcost_re14_c2p1_tnt1,Chile,26554484430.03182,0.0,26.55448443003182,0,14,1,NoCut,01
prm15_fix_wcost_re14_c2p1_tnt1,Paraguay,3578450993.0017786,221.65736235854416,3.800108355360323,0,14,1,NoCut,01
prm15_fix_wcost_re14_c2p1_tnt1,Region-wide,307973756778.02344,1509.448717204619,309.4832054952281,0,14,1,NoCut,01
prm15_fix_wcost_re14_c2p1_tnt1,Uruguay,5220940397.543578,70.27598646917527,5.291216384012753,0,14,1,NoCut,01
prm15_fix_wcost_re15_c2p1_co2_cut90p_tnt1,Argentina,64816592418.88895,214.40741333579624,65.03099983222474,1,15,1,90%Cut,11
prm15_fix_wcost_re15_c2p1_co2_cut90p_tnt1,Brazil,218179004877.50372,14619.083047469265,232.798087924973,1,15,1,90%Cut,11
prm15_fix_wcost_re15_c2p1_co2_cut90p_tnt1,Chile,29807414265.33337,6022.57079378345,35.82998505911682,1,15,1,90%Cut,11
prm15_fix_wcost_re15_c2p1_co2_cut90p_tnt1,Paraguay,7449733776.03121,1.7213653956787003,7.451455141426887,1,15,1,90%Cut,11
prm15_fix_wcost_re15_c2p1_co2_cut90p_tnt1,Region-wide,326098924577.268,20974.7645995794,347.0736891768473,1,15,1,90%Cut,11
prm15_fix_wcost_re15_c2p1_co2_cut90p_tnt1,Uruguay,5846179239.510711,116.98197959521244,5.963161219105924,1,15,1,90%Cut,11
prm15_fix_wcost_re15_c2p1_tnt1,Argentina,51061892254.30013,0.0,51.06189225430013,0,15,1,NoCut,01
prm15_fix_wcost_re15_c2p1_tnt1,Brazil,218702823578.80368,1309.3485348126371,220.01217211361632,0,15,1,NoCut,01
prm15_fix_wcost_re15_c2p1_tnt1,Chile,26274073703.584564,0.0,26.274073703584563,0,15,1,NoCut,01
prm15_fix_wcost_re15_c2p1_tnt1,Paraguay,3607558025.7023196,178.8607433410342,3.786418769043354,0,15,1,NoCut,01
prm15_fix_wcost_re15_c2p1_tnt1,Region-wide,304798020314.3487,1488.2092781536712,306.28622959250237,0,15,1,NoCut,01
prm15_fix_wcost_re15_c2p1_tnt1,Uruguay,5151672751.957981,0.0,5.151672751957981,0,15,1,NoCut,01
prm15_fix_wcost_re16_c2p1_co2_cut90p_tnt1,Argentina,61149823384.26587,378.19663513434733,61.528020019400216,1,16,1,90%Cut,11
prm15_fix_wcost_re16_c2p1_co2_cut90p_tnt1,Brazil,213191814277.76233,10618.96142105424,223.81077569881654,1,16,1,90%Cut,11
prm15_fix_wcost_re16_c2p1_co2_cut90p_tnt1,Chile,30379956102.663666,1747.8148140330682,32.12777091669673,1,16,1,90%Cut,11
prm15_fix_wcost_re16_c2p1_co2_cut90p_tnt1,Paraguay,6636756520.827289,4.134331669468586,6.6408908524967565,1,16,1,90%Cut,11
prm15_fix_wcost_re16_c2p1_co2_cut90p_tnt1,Region-wide,317587198171.54224,12875.067364738881,330.4622655362811,1,16,1,90%Cut,11
prm15_fix_wcost_re16_c2p1_co2_cut90p_tnt1,Uruguay,6228847886.023081,125.96016284775644,6.354808048870837,1,16,1,90%Cut,11
prm15_fix_wcost_re16_c2p1_tnt1,Argentina,52708042569.20667,0.0,52.708042569206675,0,16,1,NoCut,01
prm15_fix_wcost_re16_c2p1_tnt1,Brazil,213463671150.83398,1319.3027095016453,214.7829738603356,0,16,1,NoCut,01
prm15_fix_wcost_re16_c2p1_tnt1,Chile,26368624022.53341,0.0,26.36862402253341,0,16,1,NoCut,01
prm15_fix_wcost_re16_c2p1_tnt1,Paraguay,4184815465.2764087,88.73710960952329,4.273552574885932,0,16,1,NoCut,01
prm15_fix_wcost_re16_c2p1_tnt1,Region-wide,301319674544.8964,1408.0398191111685,302.72771436400757,0,16,1,NoCut,01
prm15_fix_wcost_re16_c2p1_tnt1,Uruguay,4594521337.045967,0.0,4.5945213370459665,0,16,1,NoCut,01
prm15_fix_wcost_re17_c2p1_co2_cut90p_tnt1,Argentina,61306742257.44477,239.15592497475706,61.54589818241953,1,17,1,90%Cut,11
prm15_fix_wcost_re17_c2p1_co2_cut90p_tnt1,Brazil,219553182922.10498,11220.217501101733,230.7734004232067,1,17,1,90%Cut,11
prm15_fix_wcost_re17_c2p1_co2_cut90p_tnt1,Chile,29713523810.547405,3051.8770480337535,32.76540085858116,1,17,1,90%Cut,11
prm15_fix_wcost_re17_c2p1_co2_cut90p_tnt1,Paraguay,7322338887.821079,1.297866320200115,7.32363675414128,1,17,1,90%Cut,11
prm15_fix_wcost_re17_c2p1_co2_cut90p_tnt1,Region-wide,324720190423.1177,14637.767336537012,339.3579577596547,1,17,1,90%Cut,11
prm15_fix_wcost_re17_c2p1_co2_cut90p_tnt1,Uruguay,6824402545.199465,125.21899610656747,6.949621541306032,1,17,1,90%Cut,11
prm15_fix_wcost_re17_c2p1_tnt1,Argentina,50193770980.80045,0.0,50.19377098080045,0,17,1,NoCut,01
prm15_fix_wcost_re17_c2p1_tnt1,Brazil,217798217883.59875,1293.5779182915671,219.0917958018903,0,17,1,NoCut,01
prm15_fix_wcost_re17_c2p1_tnt1,Chile,27656358902.75948,0.0,27.65635890275948,0,17,1,NoCut,01
prm15_fix_wcost_re17_c2p1_tnt1,Paraguay,3620235887.168705,181.79623937822478,3.80203212654693,0,17,1,NoCut,01
prm15_fix_wcost_re17_c2p1_tnt1,Region-wide,303932166326.6367,1475.3741576697919,305.40754048430654,0,17,1,NoCut,01
prm15_fix_wcost_re17_c2p1_tnt1,Uruguay,4663582672.30938,0.0,4.663582672309379,0,17,1,NoCut,01
prm15_fix_wcost_re18_c2p1_co2_cut90p_tnt1,Argentina,68208245293.10535,143.25951656897988,68.35150480967432,1,18,1,90%Cut,11
prm15_fix_wcost_re18_c2p1_co2_cut90p_tnt1,Brazil,230570720279.87454,11601.696540377909,242.17241682025247,1,18,1,90%Cut,11
prm15_fix_wcost_re18_c2p1_co2_cut90p_tnt1,Chile,27998772236.85744,2703.8316168382153,30.702603853695656,1,18,1,90%Cut,11
prm15_fix_wcost_re18_c2p1_co2_cut90p_tnt1,Paraguay,7793054802.498355,3.376518883765829,7.796431321382121,1,18,1,90%Cut,11
prm15_fix_wcost_re18_c2p1_co2_cut90p_tnt1,Region-wide,341100875184.1143,14621.454927227522,355.7223301113419,1,18,1,90%Cut,11
prm15_fix_wcost_re18_c2p1_co2_cut90p_tnt1,Uruguay,6530082571.77864,169.29073455865293,6.699373306337293,1,18,1,90%Cut,11
prm15_fix_wcost_re18_c2p1_tnt1,Argentina,51839271486.16594,0.0,51.83927148616594,0,18,1,NoCut,01
prm15_fix_wcost_re18_c2p1_tnt1,Brazil,222439245898.63977,1000.0311428951397,223.43927704153492,0,18,1,NoCut,01
prm15_fix_wcost_re18_c2p1_tnt1,Chile,26367137519.530746,0.0,26.367137519530747,0,18,1,NoCut,01
prm15_fix_wcost_re18_c2p1_tnt1,Paraguay,3699404454.086152,264.404789455637,3.963809243541789,0,18,1,NoCut,01
prm15_fix_wcost_re18_c2p1_tnt1,Region-wide,309947054655.08435,1325.4921556325282,311.27254681071685,0,18,1,NoCut,01
prm15_fix_wcost_re18_c2p1_tnt1,Uruguay,5601995296.66173,61.05622328175155,5.663051519943481,0,18,1,NoCut,01
prm15_fix_wcost_re19_c2p1_co2_cut90p_tnt1,Argentina,65931480947.43253,196.7197365584376,66.12820068399097,1,19,1,90%Cut,11
prm15_fix_wcost_re19_c2p1_co2_cut90p_tnt1,Brazil,232434833503.86432,12178.697817732498,244.61353132159684,1,19,1,90%Cut,11
prm15_fix_wcost_re19_c2p1_co2_cut90p_tnt1,Chile,29879073719.595592,3325.797823521967,33.20487154311756,1,19,1,90%Cut,11
prm15_fix_wcost_re19_c2p1_co2_cut90p_tnt1,Paraguay,7777703155.3721075,3.983736610629435,7.781686891982737,1,19,1,90%Cut,11
prm15_fix_wcost_re19_c2p1_co2_cut90p_tnt1,Region-wide,342020008824.3566,15900.718506200496,357.92072733055716,1,19,1,90%Cut,11
prm15_fix_wcost_re19_c2p1_co2_cut90p_tnt1,Uruguay,5996917498.0920925,195.51939177696266,6.192436889869056,1,19,1,90%Cut,11
prm15_fix_wcost_re19_c2p1_tnt1,Argentina,52255153642.2678,0.0,52.2551536422678,0,19,1,NoCut,01
prm15_fix_wcost_re19_c2p1_tnt1,Brazil,222786715842.33575,857.4927654207909,223.64420860775652,0,19,1,NoCut,01
prm15_fix_wcost_re19_c2p1_tnt1,Chile,26430059037.698822,0.0,26.430059037698822,0,19,1,NoCut,01
prm15_fix_wcost_re19_c2p1_tnt1,Paraguay,3691391480.8160634,196.17137210115578,3.8875628529172186,0,19,1,NoCut,01
prm15_fix_wcost_re19_c2p1_tnt1,Region-wide,309315746958.96094,1552.190813447434,310.86793777240837,0,19,1,NoCut,01
prm15_fix_wcost_re19_c2p1_tnt1,Uruguay,4152426955.842506,498.52667592548727,4.650953631767993,0,19,1,NoCut,01
prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,Argentina,56068646763.51973,494.37638790983624,56.56302315142957,1,1,0,90%Cut,10
prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,Brazil,208515349823.5884,8747.45813853971,217.2628079621281,1,1,0,90%Cut,10
prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,Chile,31912626651.98307,2453.5255043510288,34.366152156334095,1,1,0,90%Cut,10
prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,Paraguay,5197615696.484208,17.479468273050557,5.215095164757258,1,1,0,90%Cut,10
prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,Region-wide,307497764662.6962,11773.840162615059,319.27160482531133,1,1,0,90%Cut,10
prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,Uruguay,5803525727.120842,61.000663541433,5.864526390662275,1,1,0,90%Cut,10
prm15_fix_wcost_re1_c2p1_tnt1,Argentina,52997127183.596924,0.0,52.99712718359692,0,1,0,NoCut,00
prm15_fix_wcost_re1_c2p1_tnt1,Brazil,205417701948.0496,1503.031782022306,206.9207337300719,0,1,0,NoCut,00
prm15_fix_wcost_re1_c2p1_tnt1,Chile,27622084060.359993,0.0,27.622084060359995,0,1,0,NoCut,00
prm15_fix_wcost_re1_c2p1_tnt1,Paraguay,3502620686.9451647,140.6204020852881,3.6432410890304525,0,1,0,NoCut,00
prm15_fix_wcost_re1_c2p1_tnt1,Region-wide,294933133325.6858,1643.6521841075942,296.5767855097934,0,1,0,NoCut,00
prm15_fix_wcost_re1_c2p1_tnt1,Uruguay,5393599446.734095,0.0,5.393599446734095,0,1,0,NoCut,00
prm15_fix_wcost_re20_c2p1_co2_cut90p_tnt1,Argentina,56928891807.13353,253.35480806066425,57.1822466151942,1,20,1,90%Cut,11
prm15_fix_wcost_re20_c2p1_co2_cut90p_tnt1,Brazil,210696455874.49545,11761.330303175688,222.45778617767115,1,20,1,90%Cut,11
prm15_fix_wcost_re20_c2p1_co2_cut90p_tnt1,Chile,31846148692.091778,1549.0944896879323,33.395243181779705,1,20,1,90%Cut,11
prm15_fix_wcost_re20_c2p1_co2_cut90p_tnt1,Paraguay,6316717948.993437,5.343047053359575,6.322060996046796,1,20,1,90%Cut,11
prm15_fix_wcost_re20_c2p1_co2_cut90p_tnt1,Region-wide,311831822096.7586,13693.643838081462,325.5254659348401,1,20,1,90%Cut,11
prm15_fix_wcost_re20_c2p1_co2_cut90p_tnt1,Uruguay,6043607774.044388,124.52119010381634,6.168128964148204,1,20,1,90%Cut,11
prm15_fix_wcost_re20_c2p1_tnt1,Argentina,52253479935.24774,0.0,52.253479935247746,0,20,1,NoCut,01
prm15_fix_wcost_re20_c2p1_tnt1,Brazil,210893806374.44577,1254.0384674725715,212.14784484191836,0,20,1,NoCut,01
prm15_fix_wcost_re20_c2p1_tnt1,Chile,26519246972.153397,0.0,26.519246972153397,0,20,1,NoCut,01
prm15_fix_wcost_re20_c2p1_tnt1,Paraguay,4193657392.088401,75.82341714521158,4.269480809233612,0,20,1,NoCut,01
prm15_fix_wcost_re20_c2p1_tnt1,Region-wide,298377301318.66034,1329.861884617783,299.7071632032781,0,20,1,NoCut,01
prm15_fix_wcost_re20_c2p1_tnt1,Uruguay,4517110644.725027,0.0,4.517110644725027,0,20,1,NoCut,01
prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,Argentina,61506015288.166916,330.9553038129923,61.836970591979906,1,2,0,90%Cut,10
prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,Brazil,211648159759.44913,12832.995076426558,224.48115483587569,1,2,0,90%Cut,10
prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,Chile,31532322635.23616,2985.628010806625,34.51795064604278,1,2,0,90%Cut,10
prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,Paraguay,7133366239.907586,2.3209318223681916,7.135687171729954,1,2,0,90%Cut,10
prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,Region-wide,318115607978.42267,16242.187085013184,334.35779506343584,1,2,0,90%Cut,10
prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,Uruguay,6295744055.662901,90.28776214463952,6.386031817807541,1,2,0,90%Cut,10
prm15_fix_wcost_re2_c2p1_tnt1,Argentina,51535431170.9597,0.0,51.535431170959704,0,2,0,NoCut,00
prm15_fix_wcost_re2_c2p1_tnt1,Brazil,213826457842.17822,1250.753592100047,215.0772114342783,0,2,0,NoCut,00
prm15_fix_wcost_re2_c2p1_tnt1,Chile,27671779771.05163,0.0,27.671779771051625,0,2,0,NoCut,00
prm15_fix_wcost_re2_c2p1_tnt1,Paraguay,3562362484.90983,152.0138978804158,3.714376382790246,0,2,0,NoCut,00
prm15_fix_wcost_re2_c2p1_tnt1,Region-wide,301203937906.6526,1402.8257060090325,302.6067636126616,0,2,0,NoCut,00
prm15_fix_wcost_re2_c2p1_tnt1,Uruguay,4607906637.55317,0.05821602856977749,4.6079648535817395,0,2,0,NoCut,00
prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,Argentina,61770895211.36899,248.63720476403387,62.019532416133025,1,3,0,90%Cut,10
prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,Brazil,219620979246.00565,14147.954169815146,233.7689334158208,1,3,0,90%Cut,10
prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,Chile,32335053820.160114,4149.480993216269,36.484534813376385,1,3,0,90%Cut,10
prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,Paraguay,7403632127.123421,11.926471928900337,7.415558599052321,1,3,0,90%Cut,10
prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,Region-wide,327604891201.65735,18793.46245604858,346.3983536577059,1,3,0,90%Cut,10
prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,Uruguay,6474330796.999181,235.46361632422835,6.70979441332341,1,3,0,90%Cut,10
prm15_fix_wcost_re3_c2p1_tnt1,Argentina,52067717988.55333,0.0,52.067717988553326,0,3,0,NoCut,00
prm15_fix_wcost_re3_c2p1_tnt1,Brazil,215692082765.47418,1198.6688091396893,216.8907515746139,0,3,0,NoCut,00
prm15_fix_wcost_re3_c2p1_tnt1,Chile,27518312153.057552,0.0,27.51831215305755,0,3,0,NoCut,00
prm15_fix_wcost_re3_c2p1_tnt1,Paraguay,3306917087.587692,321.17362812778316,3.628090715715475,0,3,0,NoCut,00
prm15_fix_wcost_re3_c2p1_tnt1,Region-wide,303052215659.704,1813.0667115612962,304.86528237126527,0,3,0,NoCut,00
prm15_fix_wcost_re3_c2p1_tnt1,Uruguay,4467185665.031244,293.2242742938238,4.760409939325068,0,3,0,NoCut,00
prm15_fix_wcost_re4_c2p1_co2_cut90p_tnt1,Argentina,61185427919.49879,232.9607644843338,61.418388683983125,1,4,0,90%Cut,10
prm15_fix_wcost_re4_c2p1_co2_cut90p_tnt1,Brazil,216262567286.35257,11242.528873871393,227.50509616022396,1,4,0,90%Cut,10
prm15_fix_wcost_re4_c2p1_co2_cut90p_tnt1,Chile,29763660840.5921,2691.789015697456,32.455449856289555,1,4,0,90%Cut,10
prm15_fix_wcost_re4_c2p1_co2_cut90p_tnt1,Paraguay,6971024820.742622,3.670747797526838,6.974695568540149,1,4,0,90%Cut,10
prm15_fix_wcost_re4_c2p1_co2_cut90p_tnt1,Region-wide,321080816845.6304,14271.329595898522,335.35214644152893,1,4,0,90%Cut,10
prm15_fix_wcost_re4_c2p1_co2_cut90p_tnt1,Uruguay,6898135978.444296,100.38019404781102,6.998516172492107,1,4,0,90%Cut,10
prm15_fix_wcost_re4_c2p1_tnt1,Argentina,51324011109.89225,0.0,51.32401110989225,0,4,0,NoCut,00
prm15_fix_wcost_re4_c2p1_tnt1,Brazil,215215797715.2425,1513.3103562712267,216.72910807151374,0,4,0,NoCut,00
prm15_fix_wcost_re4_c2p1_tnt1,Chile,27448144577.937355,0.0,27.448144577937352,0,4,0,NoCut,00
prm15_fix_wcost_re4_c2p1_tnt1,Paraguay,3437022489.8490896,201.87803283784652,3.6389005226869364,0,4,0,NoCut,00
prm15_fix_wcost_re4_c2p1_tnt1,Region-wide,302068664928.7429,1742.9940182188423,303.81165894696176,0,4,0,NoCut,00
prm15_fix_wcost_re4_c2p1_tnt1,Uruguay,4643689035.82172,27.805629109769093,4.6714946649314895,0,4,0,NoCut,00
