project,period,specified_capacity_mw,specified_capacity_mwh
E_Argentina_Gas_OCGT_10s,2050,1561.8,
E_Argentina_Gas_OCGT_2002_rest,2020,2222.4,
E_Argentina_Gas_OCGT_2002_rest,2025,2222.4,
E_Argentina_Gas_OCGT_2002_rest,2030,2222.4,
E_Argentina_Gas_OCGT_2002_rest,2035,2222.4,
E_Argentina_Gas_OCGT_2002_rest,2040,2222.4,
E_Argentina_Gas_OCGT_2002_rest,2045,2222.4,
E_Argentina_Gas_OCGT_2002_rest,2050,2222.4,
E_Argentina_Gas_OCGT_60s,2020,109.4,
E_Argentina_Gas_OCGT_60s,2025,0.0,
E_Argentina_Gas_OCGT_60s,2030,0.0,
E_Argentina_Gas_OCGT_60s,2035,0.0,
E_Argentina_Gas_OCGT_60s,2040,0.0,
E_Argentina_Gas_OCGT_60s,2045,0.0,
E_Argentina_Gas_OCGT_60s,2050,0.0,
E_Argentina_Gas_OCGT_70s,2020,48.9,
E_Argentina_Gas_OCGT_70s,2025,48.9,
E_Argentina_Gas_OCGT_70s,2030,0.0,
E_Argentina_Gas_OCGT_70s,2035,0.0,
E_Argentina_Gas_OCGT_70s,2040,0.0,
E_Argentina_Gas_OCGT_70s,2045,0.0,
E_Argentina_Gas_OCGT_70s,2050,0.0,
E_Argentina_Gas_OCGT_80s,2020,755.4,
E_Argentina_Gas_OCGT_80s,2025,755.4,
E_Argentina_Gas_OCGT_80s,2030,755.4,
E_Argentina_Gas_OCGT_80s,2035,755.4,
E_Argentina_Gas_OCGT_80s,2040,755.4,
E_Argentina_Gas_OCGT_80s,2045,0.0,
E_Argentina_Gas_OCGT_80s,2050,0.0,
E_Argentina_Gas_OCGT_90s,2020,1757.3,
E_Argentina_Gas_OCGT_90s,2025,1757.3,
E_Argentina_Gas_OCGT_90s,2030,1757.3,
E_Argentina_Gas_OCGT_90s,2035,1757.3,
E_Argentina_Gas_OCGT_90s,2040,1757.3,
E_Argentina_Gas_OCGT_90s,2045,1757.3,
E_Argentina_Gas_OCGT_90s,2050,1757.3,
E_Argentina_Nuclear_2015_rest,2020,1755.0,
E_Argentina_Nuclear_2015_rest,2025,1755.0,
E_Argentina_Nuclear_2015_rest,2030,1755.0,
E_Argentina_Nuclear_2015_rest,2035,1755.0,
E_Argentina_Nuclear_2015_rest,2040,1755.0,
E_Argentina_Nuclear_2015_rest,2045,1755.0,
E_Argentina_Nuclear_2015_rest,2050,1755.0,
E_Argentina_SolarPV,2020,439.0,
E_Argentina_SolarPV,2025,439.0,
E_Argentina_SolarPV,2030,439.0,
E_Argentina_SolarPV,2035,439.0,
E_Argentina_SolarPV,2040,439.0,
E_Argentina_SolarPV,2045,439.0,
E_Argentina_SolarPV,2050,0.0,
E_Argentina_Wind,2020,1609.0,
E_Argentina_Wind,2025,1609.0,
E_Argentina_Wind,2030,1609.0,
E_Argentina_Wind,2035,1609.0,
E_Argentina_Wind,2040,1609.0,
E_Argentina_Wind,2045,1609.0,
E_Argentina_Wind,2050,0.0,
E_Brazil_Biomass_00s,2020,3923.8,
E_Brazil_Biomass_00s,2025,3923.8,
E_Brazil_Biomass_00s,2030,3923.8,
E_Brazil_Biomass_00s,2035,3923.8,
E_Brazil_Biomass_00s,2040,3923.8,
E_Brazil_Biomass_00s,2045,3923.8,
E_Brazil_Biomass_00s,2050,3923.8,
E_Brazil_Biomass_10s,2020,6653.9,
E_Brazil_Biomass_10s,2025,6653.9,
E_Brazil_Biomass_10s,2030,6653.9,
E_Brazil_Biomass_10s,2035,6653.9,
E_Brazil_Biomass_10s,2040,6653.9,
E_Brazil_Biomass_10s,2045,6653.9,
E_Brazil_Biomass_10s,2050,6653.9,
E_Brazil_Biomass_2006_rest,2020,1224.5,
E_Brazil_Biomass_2006_rest,2025,1224.5,
E_Brazil_Biomass_2006_rest,2030,1224.5,
E_Brazil_Biomass_2006_rest,2035,1224.5,
E_Brazil_Biomass_2006_rest,2040,1224.5,
